"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"168","Michigan Wolverines","ncaa","#00274C","#FFCB05",NA,NA,"Big 10","Michigan","Wolverines","Michigan Wolverines","https://content.sportslogos.net/logos/32/750/thumbs/75032372016.gif"
"169","Middle Tennessee","ncaa","#0066CC","#69B3E7",NA,NA,"C-USA","Middle Tennessee",NA,"Middle Tennessee Blue Raiders","https://content.sportslogos.net/logos/32/752/thumbs/75282132019.gif"
"170","Milwaukee","ncaa","#FFBD00","#CCCCCC",NA,NA,"Horizon","Milwaukee",NA,"Wisconsin-Milwaukee Panthers","https://content.sportslogos.net/logos/35/915/thumbs/91523812011.gif"
"171","Minnesota Golden Gophers","ncaa","#7A0019","#FFCC33",NA,NA,"Big 10","Minnesota","Golden Gophers","Minnesota Golden Gophers","https://content.sportslogos.net/logos/32/753/thumbs/r8cdw98hpgz0sevha7ejthble.gif"
"172","Mississippi State","ncaa","#660000","#FFFFFF","#CCCCCC","#75787B","SEC","Mississippi State",NA,"Mississippi State",NA
"173","Mississippi Val.","ncaa","#046A38","#FFFFFF",NA,NA,"SWAC","Mississippi","Val.","Mississippi Val.",NA
"174","Missouri","ncaa","#000000","#F1B82D",NA,NA,"SEC","Missouri",NA,"Missouri",NA
"175","Missouri State Bears[aj]","ncaa","#5E0009","#000000",NA,NA,"MVC","Missouri State","Bears[aj]","Missouri State Bears[aj]",NA
"176","Monmouth Hawks","ncaa","#041E42","#53565A",NA,NA,"CAA","Monmouth","Hawks","Monmouth Hawks","https://content.sportslogos.net/logos/32/758/thumbs/75894422014.gif"
"177","Montana Grizzlies[ak]","ncaa","#999999","#999999",NA,NA,"Big Sky","Montana","Grizzlies[ak]","Montana Grizzlies[ak]",NA
"178","Montana State Bobcats","ncaa","#B9975B","#B9975B",NA,NA,"Big Sky","Montana State","Bobcats","Montana State Bobcats","https://content.sportslogos.net/logos/32/760/thumbs/76067842013.gif"
"179","Morehead State Eagles","ncaa","#005EB8","#FFCF00",NA,NA,"OVC","Morehead State","Eagles","Morehead State Eagles","https://content.sportslogos.net/logos/32/761/thumbs/vqgygfhlkdh3ewl9nb9m.gif"
"180","Morgan State Bears[aj]","ncaa","#002D74","#FF4E00",NA,NA,"MEAC","Morgan State","Bears[aj]","Morgan State Bears[aj]",NA
"181","Mount State Mary's","ncaa","#002F6C","#FFFFFF",NA,NA,"MAAC","Mount State","Mary's","Mount State Mary's",NA
"182","Murray State Racers","ncaa","#002144","#ECAC00",NA,NA,"MVC","Murray State","Racers","Murray State Racers","https://content.sportslogos.net/logos/32/764/thumbs/76425102014.gif"
"183","N.C. A&T","ncaa","#004684","#FDB927",NA,NA,"Big South","N.C.","A&T","N.C. A&T",NA
"184","N.C. Central","ncaa","#862633","#898D8D",NA,NA,"MEAC","N.C.","Central","N.C. Central",NA
"185","NC State","ncaa","#CC0000","#000000","#FFFFFF",NA,"ACC","NC State",NA,"North Carolina State Wolfpack","https://content.sportslogos.net/logos/33/777/thumbs/77759072006.gif"
"186","NIU","ncaa","#BA0C2F","#8A8D8F","#000000",NA,"MAC","NIU",NA,"NIU",NA
"187","NJIT","ncaa","#D22630","#071D49","#C1C6C8",NA,"Am. East","NJIT",NA,"NJIT Highlanders","https://content.sportslogos.net/logos/33/2605/thumbs/2vggzg8fholnbv4umcp5h1459.gif"
"188","Navy","ncaa","#00205B","#C5B783",NA,NA,"Patriot","Navy",NA,"Navy Midshipmen","https://content.sportslogos.net/logos/33/765/thumbs/76534162014.gif"
"189","Nebraska","ncaa","#E41C38","#5F6A72","#000000",NA,"Big 10","Nebraska",NA,"Nebraska Cornhuskers","https://content.sportslogos.net/logos/33/766/thumbs/76621462016.gif"
"190","Nevada","ncaa","#003366","#807F84",NA,NA,"MWC","Nevada",NA,"Nevada Wolf Pack","https://content.sportslogos.net/logos/33/767/thumbs/76753092008.gif"
"191","New Hampshire Wildcats","ncaa","#041E42","#BBBCBC",NA,NA,"Am. East","New Hampshire","Wildcats","New Hampshire Wildcats","https://content.sportslogos.net/logos/33/768/thumbs/76896352021.gif"
"192","New Mexico","ncaa","#BA0C2F","#A7A8AA","#63666A","#007A86","MWC","New Mexico",NA,"New Mexico",NA
"193","New Mexico State Aggies","ncaa","#861F41","#97999B","#000000",NA,"WAC","New Mexico State","Aggies","New Mexico State Aggies","https://content.sportslogos.net/logos/33/770/thumbs/77050862016.gif"
"194","New Orleans Privateers","ncaa","#005CA6","#A3A9AD",NA,NA,"Southland","New Orleans","Privateers","New Orleans Privateers","https://content.sportslogos.net/logos/33/771/thumbs/77148682013.gif"
"195","Niagara Purple Eagles","ncaa","#582C83","#FFFFFF",NA,NA,"MAAC","Niagara","Purple Eagles","Niagara Purple Eagles","https://content.sportslogos.net/logos/33/772/thumbs/oi5inigc39oafmcd7f3fb7bhf.gif"
"196","Nicholls","ncaa","#C41230","#B2B2B2",NA,NA,"Southland","Nicholls",NA,"Nicholls",NA
"197","Norfolk State Spartans","ncaa","#007A53","#F2A900",NA,NA,"MEAC","Norfolk State","Spartans","Norfolk State Spartans","https://content.sportslogos.net/logos/33/774/thumbs/7064.gif"
"198","North Alabama Lions","ncaa","#46166B","#DB9F11","#5F6062",NA,"A-Sun","North Alabama","Lions","North Alabama Lions","https://content.sportslogos.net/logos/33/4754/thumbs/475488292022.gif"
"199","North Carolina","ncaa","#7BAFD4","#FFFFFF","#13294B","#000000","ACC","North Carolina",NA,"North Carolina Tar Heels","https://content.sportslogos.net/logos/33/775/thumbs/77515392015.gif"
"200","North Dakota Fighting Hawks","ncaa","#009A44","#FFFFFF",NA,NA,"Summit","North Dakota","Fighting Hawks","North Dakota Fighting Hawks","https://content.sportslogos.net/logos/33/2607/thumbs/260726942016.gif"
"201","North Dakota State","ncaa","#0A5640","#FFC72A",NA,NA,"Summit","North Dakota State",NA,"North Dakota State",NA
"202","North Florida Ospreys","ncaa","#00246B","#D9D9D9",NA,NA,"A-Sun","North Florida","Ospreys","UNF Ospreys","https://content.sportslogos.net/logos/35/4947/thumbs/494770022014.gif"
"203","North Texas Mean Green","ncaa","#00853E","#000000",NA,NA,"C-USA","North Texas","Mean Green","North Texas Mean Green","https://content.sportslogos.net/logos/33/782/thumbs/78267462005.gif"
"204","Northeastern Huskies","ncaa","#E50000","#000000",NA,NA,"CAA","Northeastern","Huskies","Northeastern Huskies","https://content.sportslogos.net/logos/33/783/thumbs/78313802018.gif"
"205","Northern Arizona Lumberjacks","ncaa","#FFD200","#FBB040",NA,NA,"Big Sky","Northern Arizona","Lumberjacks","Northern Arizona Lumberjacks","https://content.sportslogos.net/logos/33/784/thumbs/78473542014.gif"
"206","Northern Colorado Bears","ncaa","#F6B000","#F6B000",NA,NA,"Big Sky","Northern Colorado","Bears","Northern Colorado Bears","https://content.sportslogos.net/logos/33/4954/thumbs/495432012015.gif"
"207","Northern Kentucky Norse","ncaa","#FFC72C","#000000",NA,NA,"Horizon","Northern Kentucky","Norse","Northern Kentucky Norse","https://content.sportslogos.net/logos/33/5047/thumbs/504799312016.gif"
"208","Northwestern State","ncaa","#492F92","#F78426",NA,NA,"Southland","Northwestern State",NA,"Northwestern State",NA
"209","Northwestern Wildcats","ncaa","#4E2A84","#FFFFFF",NA,NA,"Big 10","Northwestern","Wildcats","Northwestern Wildcats","https://content.sportslogos.net/logos/33/787/thumbs/78733582012.gif"
"210","Notre Dame","ncaa","#0C2340","#C99700","#AE9142","#00843D","ACC","Notre Dame",NA,"Notre Dame",NA
"211","Oakland Golden Grizzlies","ncaa","#B59A57","#000000",NA,NA,"Horizon","Oakland","Golden Grizzlies","Oakland Golden Grizzlies","https://content.sportslogos.net/logos/33/790/thumbs/79014052021.gif"
"212","Ohio","ncaa","#00694E","#CDA077",NA,NA,"MAC","Ohio",NA,"Ohio",NA
"213","Ohio State","ncaa","#BB0000","#666666",NA,NA,"Big 10","Ohio State",NA,"Ohio State Buckeyes","https://content.sportslogos.net/logos/33/791/thumbs/79176452013.gif"
"214","Oklahoma Sooners","ncaa","#841617","#FDF9D8",NA,NA,"Big 12","Oklahoma","Sooners","Oklahoma Sooners","https://content.sportslogos.net/logos/33/793/thumbs/79328022018.gif"
"215","Oklahoma State","ncaa","#FF7300","#000000","#FF9900","#BEBEBE","Big 12","Oklahoma State",NA,"Oklahoma State Cowboys","https://content.sportslogos.net/logos/33/794/thumbs/79454632019.gif"
"216","Old Dominion Monarchs[am]","ncaa","#003057","#92C1E9",NA,NA,"Sunbelt","Old Dominion","Monarchs[am]","Old Dominion Monarchs[am]",NA
"217","Ole Miss","ncaa","#CE1126","#14213D","#FFFFFF",NA,"SEC","Ole","Miss","Mississippi Rebels","https://content.sportslogos.net/logos/32/754/thumbs/75416092020.gif"
"218","Omaha","ncaa","#000000","#D71920","#636568",NA,"Summit","Omaha",NA,"Nebraska-Omaha Mavericks","https://content.sportslogos.net/logos/33/5049/thumbs/504963202011.gif"
"219","Oral Roberts Golden Eagles","ncaa","#002F60","#C5B783","#A28E2A",NA,"Summit","Oral Roberts","Golden Eagles","Oral Roberts Golden Eagles","https://content.sportslogos.net/logos/33/796/thumbs/79632282017.gif"
"220","Oregon Ducks","ncaa","#154733","#FEE123",NA,NA,"Pac 12","Oregon","Ducks","Oregon Ducks","https://content.sportslogos.net/logos/33/797/thumbs/by8dfvb6j89hs5nrvlb1ibx5e.gif"
"221","Oregon State Beavers","ncaa","#DC4405","#000000","#FFFFFF",NA,"Pac 12","Oregon State","Beavers","Oregon State Beavers","https://content.sportslogos.net/logos/33/798/thumbs/79813572013.gif"
"222","Pacific","ncaa","#E35205","#231F20","#D86018","#949A90","WCC","Pacific",NA,"Pacific Tigers","https://content.sportslogos.net/logos/33/799/thumbs/79930331999.gif"
"223","Penn","ncaa","#990000","#011F5B",NA,NA,"Ivy","Penn",NA,"Penn Quakers","https://content.sportslogos.net/logos/33/800/thumbs/80055202017.gif"
"224","Penn State","ncaa","#093162","#FFFFFF",NA,NA,"Big 10","Penn State",NA,"Penn State Nittany Lions","https://content.sportslogos.net/logos/33/801/thumbs/6g3sx3a2zxgt5z2vb10g.gif"
"225","Pepperdine Waves","ncaa","#00205C","#EE7624",NA,NA,"WCC","Pepperdine","Waves","Pepperdine Waves","https://content.sportslogos.net/logos/33/802/thumbs/80265362012.gif"
"226","Pittsburgh Panthers","ncaa","#1C2957","#CDB87D",NA,NA,"ACC","Pittsburgh","Panthers","Pittsburgh Panthers","https://content.sportslogos.net/logos/33/803/thumbs/80338912019.gif"
"227","Portland Pilots","ncaa","#1E1656","#5E6A71",NA,NA,"WCC","Portland","Pilots","Portland Pilots","https://content.sportslogos.net/logos/33/804/thumbs/80428142014.gif"
"228","Portland State Vikings","ncaa","#154734","#FFFFFF","#373A36","#2C2A29","Big Sky","Portland State","Vikings","Portland State Vikings","https://content.sportslogos.net/logos/33/805/thumbs/80548492016.gif"
"229","Prairie View","ncaa","#330066","#FFCC33",NA,NA,"SWAC","Prairie","View","Prairie View",NA
"230","Presbyterian","ncaa","#0060A9","#9D2235",NA,NA,"Big South","Presbyterian",NA,"Presbyterian",NA
"231","Princeton Tigers","ncaa","#FF671F","#000000",NA,NA,"Ivy","Princeton","Tigers","Princeton Tigers","https://content.sportslogos.net/logos/33/807/thumbs/4g0k10eeht09gbiaklzg49ah9.gif"
"232","Providence","ncaa","#000000","#8A8D8F","#FFFFFF",NA,"Big East","Providence",NA,"Providence Friars","https://content.sportslogos.net/logos/33/808/thumbs/80824872017.gif"
"233","Purdue Boilermakers","ncaa","#CEB888","#000000","#9D968D","#373A36","Big 10","Purdue","Boilermakers","Purdue Boilermakers","https://content.sportslogos.net/logos/33/809/thumbs/80966442012.gif"
"234","Purdue Fort Wayne Mastodons","ncaa","#002F6C","#000000","#63666A","#97999B","Horizon","Purdue Fort Wayne","Mastodons","Purdue Fort Wayne Mastodons","https://content.sportslogos.net/logos/33/6619/thumbs/661929622018.gif"
"235","Queens (NC)","ncaa","#192C66","white",NA,NA,"A-Sun","Queens","(NC)","Queens (NC)",NA
"236","Quinnipiac Bobcats","ncaa","#0A2240","#FFB819",NA,NA,"MAAC","Quinnipiac","Bobcats","Quinnipiac Bobcats","https://content.sportslogos.net/logos/33/810/thumbs/81028122019.gif"
"237","Radford Highlanders","ncaa","#C2011B","#808285",NA,NA,"Big South","Radford","Highlanders","Radford Highlanders","https://content.sportslogos.net/logos/33/811/thumbs/81132852016.gif"
"238","Rhode Island Rams","ncaa","#68ABE8","#002147",NA,NA,"A-10","Rhode","Island Rams","Rhode Island Rams","https://content.sportslogos.net/logos/33/812/thumbs/81261122010.gif"
"239","Rice","ncaa","#00205B","#C1C6C8",NA,NA,"C-USA","Rice",NA,"Rice",NA
"240","Richmond Spiders","ncaa","#000066","#990000",NA,NA,"A-10","Richmond","Spiders","Richmond Spiders","https://content.sportslogos.net/logos/33/814/thumbs/81467492017.gif"
"241","Rider Broncs","ncaa","#981E32","#6C6F70",NA,NA,"MAAC","Rider","Broncs","Rider Broncs","https://content.sportslogos.net/logos/33/815/thumbs/81562592007.gif"
"242","Robert Morris Colonials","ncaa","#14234B","#A6192E",NA,NA,"Horizon","Robert","Morris Colonials","Robert Morris Colonials","https://content.sportslogos.net/logos/33/816/thumbs/81640582020.gif"
"243","Rutgers","ncaa","#CC0033","#5F6A72","#000000",NA,"Big 10","Rutgers",NA,"Rutgers",NA
"244","SFA","ncaa","#3F2A55","#FFFFFF",NA,NA,"WAC","SFA",NA,"SFA",NA
"245","SIUE","ncaa","#CC0000","#FFFFFF",NA,NA,"OVC","SIUE",NA,"SIUE",NA
"246","SMU","ncaa","#CC0035","#354CA1",NA,NA,"AAC","SMU",NA,"SMU",NA
"247","Sacramento State","ncaa","#043927","#C4B581",NA,NA,"Big Sky","Sacramento State",NA,"Sacramento State Hornets","https://content.sportslogos.net/logos/30/629/thumbs/okyaz26kurakymvf0hh42hijj.gif"
"248","Sacred Heart Pioneers","ncaa","#CD1041","#FFFFFF",NA,NA,"NEC","Sacred","Heart Pioneers","Sacred Heart Pioneers","https://content.sportslogos.net/logos/34/820/thumbs/82094932014.gif"
"249","Saint Francis (PA)","ncaa","#BD1F25","#FFFFFF",NA,NA,"NEC","Saint Francis","(PA)","Saint Francis (PA)",NA
"250","Saint Joseph's Hawks","ncaa","#9E1B32","#6C6F70",NA,NA,"A-10","Saint Joseph's","Hawks","St. Joseph's Hawks",NA
"251","Saint Louis Billikens","ncaa","#003DA5","#C8C9C7",NA,NA,"A-10","Saint Louis","Billikens","Saint Louis Billikens","https://content.sportslogos.net/logos/34/822/thumbs/82292312015.gif"
"252","Saint Mary's (CA)","ncaa","#D80024","#06315B",NA,NA,"WCC","Saint Mary's","(CA)","Saint Marys Gaels","https://content.sportslogos.net/logos/34/852/thumbs/mfhe5ysvfgzgt0wxt8hcz89pv.gif"
"253","Saint Peter's Peacocks","ncaa","#003C71","#0072CE","#A59C94","#000000","MAAC","Saint Peter's","Peacocks","Saint Peter's Peacocks",NA
"254","SaintBonaventure","ncaa","#54261A","#FDB726","#BDB6B0",NA,"A-10","SaintBonaventure",NA,"St. Bonaventure Bonnies","https://content.sportslogos.net/logos/34/848/thumbs/84823232016.gif"
"255","SaintFrancis Brooklyn","ncaa","#0038A8","#CE1126",NA,NA,"NEC","SaintFrancis","Brooklyn","SaintFrancis Brooklyn",NA
"256","SaintJohn's (NY)","ncaa","#BA0C2F","#041C2C","#A7A8AA",NA,"Big East","SaintJohn's","(NY)","St. John's Red Storm",NA
"257","SaintThomas (MN)","ncaa","purple","white",NA,NA,"Summit","SaintThomas","(MN)","SaintThomas (MN)",NA
"258","Sam Houston","ncaa","#F78E1E","#004990",NA,NA,"WAC","Sam","Houston","Sam Houston",NA
"259","Samford Bulldogs","ncaa","#C4161D","#002649",NA,NA,"Southern","Samford","Bulldogs","Samford Bulldogs","https://content.sportslogos.net/logos/34/824/thumbs/82413822016.gif"
"260","San Diego State Aztecs","ncaa","#A6192E","#000000","#FFFFFF",NA,"MWC","San Diego State","Aztecs","San Diego State Aztecs","https://content.sportslogos.net/logos/34/826/thumbs/82676662013.gif"
"261","San Diego Toreros","ncaa","#002868","#84BCE8","#207BC1",NA,"WCC","San Diego","Toreros","San Diego Toreros","https://content.sportslogos.net/logos/34/825/thumbs/82542642016.gif"
"262","San Francisco Dons","ncaa","#FDBB30","#00543C","#919194",NA,"WCC","San Francisco","Dons","San Francisco Dons","https://content.sportslogos.net/logos/34/827/thumbs/82715532012.gif"
"263","San Jose State Spartans","ncaa","#0055A2","#E5A823","#939597",NA,"MWC","San Jose State","Spartans","San Jose State Spartans","https://content.sportslogos.net/logos/34/828/thumbs/82875122018.gif"
"264","Santa Clara Broncos","ncaa","#862633","#FFFFFF",NA,NA,"WCC","Santa Clara","Broncos","Santa Clara Broncos","https://content.sportslogos.net/logos/34/829/thumbs/82950002016.gif"
"265","Seattle U","ncaa","#AA0000","#333333",NA,NA,"WAC","Seattle","U","Seattle Redhawks","https://content.sportslogos.net/logos/34/5052/thumbs/505217542008.gif"
"266","Seton Hall Pirates","ncaa","#004488","#A2AAAD",NA,NA,"Big East","Seton Hall","Pirates","Seton Hall Pirates","https://content.sportslogos.net/logos/34/831/thumbs/83191832009.gif"
"267","Siena","ncaa","#FFC72C","#C8102E","#006747","#693F23","MAAC","Siena",NA,"Siena Saints","https://content.sportslogos.net/logos/34/832/thumbs/3336kgxl1jzfvrzh423fldmyo.gif"
"268","South Alabama Jaguars","ncaa","#00205B","#BF0D3E",NA,NA,"Sunbelt","South Alabama","Jaguars","South Alabama Jaguars","https://content.sportslogos.net/logos/34/833/thumbs/f0escusps8d57q2gf0bpy1otm.gif"
"269","South Carolina Gamecocks","ncaa","#73000A","#000000",NA,NA,"SEC","South Carolina","Gamecocks","South Carolina Gamecocks","https://content.sportslogos.net/logos/34/834/thumbs/83459292008.gif"
"270","South Carolina State Bulldogs[h]","ncaa","#841A2B","#1E4692",NA,NA,"MEAC","South Carolina State","Bulldogs[h]","South Carolina State Bulldogs[h]",NA
"271","South Dakota Coyotes","ncaa","#AD0000","#B4B4B4","#000000",NA,"Summit","South Dakota","Coyotes","South Dakota Coyotes","https://content.sportslogos.net/logos/34/5037/thumbs/503737322011.gif"
"272","South Dakota State Jackrabbits","ncaa","#0033A0","#FFD100",NA,NA,"Summit","South Dakota State","Jackrabbits","South Dakota State Jackrabbits","https://content.sportslogos.net/logos/34/836/thumbs/rx5rkctzeni2o4nxdsl4ftgw9.gif"
"273","South Florida Bulls","ncaa","#006747","#CFC493",NA,NA,"AAC","South Florida","Bulls","South Florida Bulls","https://content.sportslogos.net/logos/34/837/thumbs/83790582011.gif"
"274","Southeast Mo. State","ncaa","#C8102E","#000000",NA,NA,"OVC","Southeast","Mo._State","Southeast Mo. State",NA
"275","Southeastern Louisiana Lions[ap]","ncaa","#006341","#EAAA00",NA,NA,"Southland","Southeastern","Louisiana Lions[ap]","Southeastern Louisiana Lions[ap]",NA
"276","Southern California Trojans[ax]","ncaa","#FFC72C","#990000","#FFC72C",NA,"Pac 12","Southern California","Trojans[ax]","Southern California Trojans[ax]",NA
"277","Southern Illinois","ncaa","#720000","#000000",NA,NA,"MVC","Southern Illinois",NA,"Southern Illinois Salukis","https://content.sportslogos.net/logos/34/841/thumbs/84143492019.gif"
"278","Southern Ind.","ncaa","#CF102D","#002D5D",NA,NA,"OVC","Southern Ind.",NA,"Southern Ind.",NA
"279","Southern Mississippi Golden Eagles[u]","ncaa","#000000","#FFAB00",NA,NA,"Sunbelt","Southern Mississippi","Golden Eagles[u]","Southern Mississippi Golden Eagles[u]",NA
"280","Southern U.","ncaa","#69B3E7","#FFC72C",NA,NA,"SWAC","Southern U.",NA,"Southern U.",NA
"281","Southern Utah Thunderbirds","ncaa","#000000","#FFFFFF",NA,NA,"WAC","Southern Utah","Thunderbirds","Southern Utah Thunderbirds","https://content.sportslogos.net/logos/34/844/thumbs/84438212019.gif"
"282","Stanford","ncaa","#8C1515","#FFFFFF","#4D4F53","#2E2D29","Pac 12","Stanford",NA,"Stanford",NA
"283","Stetson Hatters","ncaa","#006747","#B58150","#9E652E","#000000","A-Sun","Stetson","Hatters","Stetson Hatters","https://content.sportslogos.net/logos/34/857/thumbs/85710302018.gif"
"284","Stonehill","ncaa","purple","black",NA,NA,"NEC","Stonehill",NA,"Stonehill",NA
"285","Stony Brook","ncaa","#990000","#16243E","#828282",NA,"CAA","Stony Brook",NA,"Stony Brook",NA
"286","Syracuse Orange","ncaa","#D44500","#3E3D3C","#6F777D","#ADB3B8","ACC","Syracuse","Orange","Syracuse Orange","https://content.sportslogos.net/logos/34/859/thumbs/85984312015.gif"
"287","TCU","ncaa","#4D1979","#A3A9AC","#FFFFFF",NA,"Big 12","TCU",NA,"TCU Horned Frogs","https://content.sportslogos.net/logos/34/868/thumbs/86837962013.gif"
"288","Tarleton State","ncaa","#4F2D7F","white",NA,NA,"WAC","Tarleton State",NA,"Tarleton State",NA
"289","Temple Owls","ncaa","#9D2235","#FFCD00","#8A8D8F","#C1C6C8","AAC","Temple","Owls","Temple Owls","https://content.sportslogos.net/logos/34/860/thumbs/86045952020.gif"
"290","Tennessee","ncaa","#FF8200","#58595B","#FFFFFF",NA,"SEC","Tennessee",NA,"Tennessee",NA
"291","Tennessee State Tigers[v]","ncaa","#00539F","#FFFFFF",NA,NA,"OVC","Tennessee State","Tigers[v]","Tennessee State Tigers[v]",NA
"292","Tennessee Tech","ncaa","#4F2984","#FFDD00",NA,NA,"OVC","Tennessee Tech",NA,"Tennessee Tech",NA
"293","Tex. A&M-Commerce","ncaa","navy","gold",NA,NA,"Southland","Tex.","A&M-Commerce","Tex. A&M-Commerce",NA
"294","Texas","ncaa","#BF5700","#333F48","#FFFFFF",NA,"Big 12","Texas",NA,"Texas Longhorns","https://content.sportslogos.net/logos/34/865/thumbs/86561462019.gif"
"295","Texas A&M Aggies","ncaa","#500000","#FFFFFF",NA,NA,"SEC","Texas A&M","Aggies","Texas A&M Aggies","https://content.sportslogos.net/logos/34/866/thumbs/86656342021.gif"
"296","Texas Southern Tigers[v]","ncaa","#6F263D","#A2AAAD",NA,NA,"SWAC","Texas","Southern Tigers[v]","Texas Southern Tigers[v]",NA
"297","Texas State Bobcats","ncaa","#501214","#8D734A",NA,NA,"Sunbelt","Texas State","Bobcats","Texas State Bobcats","https://content.sportslogos.net/logos/34/847/thumbs/84722912021.gif"
"298","Texas Tech Red Raiders[at]","ncaa","#CC0000","#000000","#FFFFFF",NA,"Big 12","Texas Tech","Red Raiders[at]","Texas Tech Red Raiders[at]",NA
"299","The Citadel","ncaa","#3975B7","#FFFFFF",NA,NA,"Southern","The","Citadel","The Citadel",NA
"300","Toledo Rockets","ncaa","#15397F","#005CB9","#FFDA00","#BEC6C3","MAC","Toledo","Rockets","Toledo Rockets","https://content.sportslogos.net/logos/34/874/thumbs/87473482019.gif"
"301","Towson Tigers","ncaa","#000000","#FFCC00",NA,NA,"CAA","Towson","Tigers","Towson Tigers","https://content.sportslogos.net/logos/34/875/thumbs/87538812011.gif"
"302","Troy Trojans","ncaa","#6D0017","#B2B3B5","#000000",NA,"Sunbelt","Troy","Trojans","Troy Trojans","https://content.sportslogos.net/logos/34/876/thumbs/87610792016.gif"
"303","Tulane","ncaa","#006747","#43B02A","#418FDE","#000000","AAC","Tulane",NA,"Tulane",NA
"304","Tulsa","ncaa","#002D72","#C8102E","#C5B783","#F3D54E","AAC","Tulsa",NA,"Tulsa",NA
"305","UAB","ncaa","#006341","#CC8A00","#000000","#BF0D3E","C-USA","UAB",NA,"UAB Blazers","https://content.sportslogos.net/logos/35/879/thumbs/87915182015.gif"
"306","UAlbany","ncaa","#461660","#EEB211",NA,NA,"Am. East","UAlbany",NA,"UAlbany",NA
"307","UC Davis","ncaa","#002855","#B3A369",NA,NA,"Big West","UC","Davis","California Davis Aggies","https://content.sportslogos.net/logos/30/1831/thumbs/183112042019.gif"
"308","UC Irvine","ncaa","#0C2340","#FFC72C",NA,NA,"Big West","UC","Irvine","California-Irvine Anteaters","https://content.sportslogos.net/logos/30/880/thumbs/88023612014.gif"
"309","UC Riverside","ncaa","#2D6CC0","#003066","#F1AB00","#7A6E67","Big West","UC","Riverside","California Riverside Highlanders",NA
"310","UC San Diego","ncaa","#182B49","#C69214",NA,NA,"Big West","UC","San Diego","UC San Diego",NA
"311","UC Santa Barbara","ncaa","#004D9F","#FFB814",NA,NA,"Big West","UC","Santa Barbara","UC Santa Barbara",NA
"312","UCF","ncaa","#000000","#B7A369",NA,NA,"AAC","UCF",NA,"UCF",NA
"313","UCLA","ncaa","#2D68C4","#F2A900","#3284BF","#FFE800","Pac 12","UCLA",NA,"UCLA Bruins","https://content.sportslogos.net/logos/35/882/thumbs/88285272017.gif"
"314","UConn","ncaa","#000E2F","#FFFFFF",NA,NA,"Big East","UConn",NA,"UConn",NA
"315","UIC","ncaa","#AC1E2D","#041E42","#FACC09",NA,"MVC","UIC",NA,"Illinois-Chicago Flames","https://content.sportslogos.net/logos/32/708/thumbs/70847702020.gif"
"316","UIW","ncaa","#CB333B","#000000",NA,NA,"Southland","UIW",NA,"UIW",NA
"317","ULM","ncaa","#800029","#BD955A","#646469","#DAD86D","Sunbelt","ULM",NA,"ULM",NA
"318","UMBC","ncaa","#B18906","#FFC20E","#000000","#ED1C24","Am. East","UMBC",NA,"UMBC Retrievers","https://content.sportslogos.net/logos/35/885/thumbs/88553842010.gif"
"319","UMES","ncaa","#822433","#8B8D8E",NA,NA,"MEAC","UMES",NA,"UMES",NA
"320","UMass Lowell","ncaa","#003DA5","#C8102E",NA,NA,"Am. East","UMass Lowell",NA,"UMass Lowell River Hawks","https://content.sportslogos.net/logos/35/5023/thumbs/502335682016.gif"
"321","UNC Asheville","ncaa","#003DA5","#FFFFFF",NA,NA,"Big South","UNC","Asheville","UNC Asheville",NA
"322","UNC Greensboro","ncaa","#0F2044","#FFB71B",NA,NA,"Southern","UNC","Greensboro","UNC Greensboro",NA
"323","UNCW","ncaa","#006666","#003366","#FFD600",NA,"CAA","UNCW",NA,"UNCW",NA
"324","UNI","ncaa","#4B116F","#FFCC00",NA,NA,"MVC","UNI",NA,"Northern Iowa Panthers","https://content.sportslogos.net/logos/33/786/thumbs/78616812021.gif"
"325","UNLV","ncaa","#B10202","#666666","#000000",NA,"MWC","UNLV",NA,"UNLV Rebels","https://content.sportslogos.net/logos/35/888/thumbs/88889482018.gif"
"326","USC Upstate","ncaa","#00703C","#000000",NA,NA,"Big South","USC Upstate",NA,"USC Upstate Spartans","https://content.sportslogos.net/logos/35/4948/thumbs/494833572021.gif"
"327","UT Arlington","ncaa","#F58025","#0064B1",NA,NA,"WAC","UT","Arlington","Texas-Arlington Mavericks","https://content.sportslogos.net/logos/34/871/thumbs/87190202007.gif"
"328","UT Martin","ncaa","#002649","#F77F00",NA,NA,"OVC","UT","Martin","UT Martin",NA
"329","UTEP","ncaa","#FF8200","#041E42","#B1B3B3",NA,"C-USA","UTEP",NA,"UTEP Miners","https://content.sportslogos.net/logos/35/889/thumbs/2711.gif"
"330","UTRGV","ncaa","#FFA300","#F05023","#00843D","#0C2340","WAC","UTRGV",NA,"UTRGV Vaqueros","https://content.sportslogos.net/logos/35/5639/thumbs/563996352015.gif"
"331","UTSA","ncaa","#F15A22","#0C2340",NA,NA,"C-USA","UTSA",NA,"Texas-SA Roadrunners","https://content.sportslogos.net/logos/34/890/thumbs/8w7wa2e7efz3h7g9m98ja3idd.gif"
"332","Utah State Aggies","ncaa","#0F2439","#FFFFFF","#9D968D","#000000","MWC","Utah State","Aggies","Utah State Aggies","https://content.sportslogos.net/logos/35/893/thumbs/89352172019.gif"
