"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"61","Cornell Big Red","ncaa","#B31B1B","#5E3920","#89572E","#000000","Ivy","Cornell","Big Red","Cornell Big Red","https://content.sportslogos.net/logos/30/651/thumbs/65139712002.gif"
"62","Creighton Bluejays","ncaa","#005CA9","#00235D","#6CADDE","#828282","Big East","Creighton","Bluejays","Creighton Bluejays","https://content.sportslogos.net/logos/30/652/thumbs/65227962013.gif"
"63","Dartmouth","ncaa","#046A38","#000000",NA,NA,"Ivy","Dartmouth",NA,"Dartmouth Big Green","https://content.sportslogos.net/logos/31/653/thumbs/65382902019.gif"
"64","Davidson","ncaa","#AC1A2F","#000000",NA,NA,"A-10","Davidson",NA,"Davidson Wildcats","https://content.sportslogos.net/logos/31/654/thumbs/65425992010.gif"
"65","Dayton Flyers","ncaa","#CE1141","#004B8D","#F80228","#0200D1","A-10","Dayton","Flyers","Dayton Flyers","https://content.sportslogos.net/logos/31/655/thumbs/65570832015.gif"
"66","DePaul Blue Demons","ncaa","#005EB8","#E4002B",NA,NA,"Big East","DePaul","Blue Demons","DePaul Blue Demons","https://content.sportslogos.net/logos/31/656/thumbs/65640102021.gif"
"67","Delaware Fightin' Blue Hens","ncaa","#00539F","#FFD200",NA,NA,"CAA","Delaware","Fightin' Blue Hens","Delaware Fightin' Blue Hens",NA
"68","Delaware State Hornets[i]","ncaa","#EE3124","#0099CC",NA,NA,"MEAC","Delaware State","Hornets[i]","Delaware State Hornets[i]",NA
"69","Denver Pioneers","ncaa","#8B2332","#8B6F4B",NA,NA,"Summit","Denver","Pioneers","Denver Pioneers","https://content.sportslogos.net/logos/31/659/thumbs/65995202022.gif"
"70","Detroit Mercy Titans","ncaa","#A6093D","#002D72","#D7D2CB",NA,"Horizon","Detroit","Mercy Titans","Detroit Titans","https://content.sportslogos.net/logos/31/660/thumbs/66041452016.gif"
"71","Drake Bulldogs","ncaa","#004477","#999999",NA,NA,"MVC","Drake","Bulldogs","Drake Bulldogs","https://content.sportslogos.net/logos/31/661/thumbs/66135332015.gif"
"72","Drexel Dragons","ncaa","#07294D","#FFC600",NA,NA,"CAA","Drexel","Dragons","Drexel Dragons","https://content.sportslogos.net/logos/31/662/thumbs/66250282012.gif"
"73","Duke Blue Devils","ncaa","#001A57","#FFFFFF","#003366","#0736A4","ACC","Duke","Blue Devils","Duke Blue Devils","https://content.sportslogos.net/logos/31/663/thumbs/66395011978.gif"
"74","Duquesne","ncaa","#041E42","#BA0C2F","#000000",NA,"A-10","Duquesne",NA,"Duquesne",NA
"75","ETSU","ncaa","#041E42","#FFC72C",NA,NA,"Southern","ETSU",NA,"ETSU",NA
"76","East Carolina Pirates[q]","ncaa","#592A8A","#FDC82F",NA,NA,"AAC","East Carolina","Pirates[q]","East Carolina Pirates[q]",NA
"77","Eastern Illinois Panthers","ncaa","#003399","#B2B2B2",NA,NA,"OVC","Eastern Illinois","Panthers","Eastern Illinois Panthers","https://content.sportslogos.net/logos/31/667/thumbs/66777832015.gif"
"78","Eastern Kentucky Colonels","ncaa","#4C151E","#FFFFFF",NA,NA,"A-Sun","Eastern Kentucky","Colonels","Eastern Kentucky Colonels","https://content.sportslogos.net/logos/31/668/thumbs/66815552017.gif"
